Emotions,Path
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-01-01-01-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-01-01-01-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-01-01-02-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-01-01-02-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-01-01-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-01-01-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-01-02-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-01-02-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-02-01-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-02-01-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-02-02-01-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-02-02-02-02-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-01-01-01-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-01-01-02-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-01-02-01-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-01-02-02-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-02-01-01-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-02-01-02-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-02-02-01-01.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-03-02-02-02-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-01-01-01-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-01-01-02-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-01-02-01-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-01-02-02-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-02-01-01-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-02-01-02-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-02-02-01-01.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_01/03-01-06-02-02-02-01.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-01-01-01-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-01-01-01-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-01-01-02-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-01-01-02-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-01-01-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-01-01-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-01-02-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-01-02-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-02-01-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-02-01-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-02-02-01-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-02-02-02-02-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-01-01-01-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-01-01-02-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-01-02-01-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-01-02-02-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-02-01-01-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-02-01-02-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-02-02-01-02.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-03-02-02-02-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-01-01-01-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-01-01-02-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-01-02-01-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-01-02-02-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-02-01-01-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-02-01-02-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-02-02-01-02.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_02/03-01-06-02-02-02-02.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-01-01-01-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-01-01-01-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-01-01-02-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-01-01-02-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-01-01-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-01-01-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-01-02-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-01-02-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-02-01-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-02-01-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-02-02-01-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-02-02-02-02-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-01-01-01-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-01-01-02-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-01-02-01-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-01-02-02-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-02-01-01-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-02-01-02-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-02-02-01-03.wav
happy,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-03-02-02-02-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-01-01-01-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-01-01-02-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-01-02-01-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-01-02-02-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-02-01-01-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-02-01-02-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-02-02-01-03.wav
fear,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_03/03-01-06-02-02-02-03.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_04/03-01-01-01-01-01-04.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_04/03-01-01-01-01-02-04.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_04/03-01-01-01-02-01-04.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_04/03-01-01-01-02-02-04.wav
calm_neutral,C:/Users/Asale/Desktop/Real-Time-Speech-Emotion-Recognition-master/serdataset/Actor_04/03-01-02-01-01-01-04.wav
